Entity,Code,Year,Life expectancy
Australia,AUS,1905,57
Australia,AUS,1921,60.97
Australia,AUS,1922,62.83
Australia,AUS,1923,61.68
Australia,AUS,1924,62.48
Australia,AUS,1925,63.17
Australia,AUS,1926,62.88
Australia,AUS,1927,62.84
Australia,AUS,1928,62.91
Australia,AUS,1929,63.08
Australia,AUS,1930,64.9
Australia,AUS,1931,65.32
Australia,AUS,1932,65.6
Australia,AUS,1933,65.43
Australia,AUS,1934,64.79
Australia,AUS,1935,65.05
Australia,AUS,1936,65.19
Australia,AUS,1937,65.74
Australia,AUS,1938,65.76
Australia,AUS,1939,65.73
Australia,AUS,1940,66.16
Australia,AUS,1941,66.04
Australia,AUS,1942,65.79
Australia,AUS,1943,66.33
Australia,AUS,1944,67.96
Australia,AUS,1945,68.38
Australia,AUS,1946,67.92
Australia,AUS,1947,68.52
Australia,AUS,1948,68.47
Australia,AUS,1949,69.09
Australia,AUS,1950,69
Australia,AUS,1951,68.6995
Australia,AUS,1952,69.1125
Australia,AUS,1953,69.6911
Australia,AUS,1954,69.8595
Australia,AUS,1955,70.1564
Australia,AUS,1956,70.0366
Australia,AUS,1957,70.3168
Australia,AUS,1958,70.8606
Australia,AUS,1959,70.445
Australia,AUS,1960,70.8652
Australia,AUS,1961,71.1348
Australia,AUS,1962,70.9059
Australia,AUS,1963,70.9606
Australia,AUS,1964,70.5715
Australia,AUS,1965,70.8021
Australia,AUS,1966,70.6776
Australia,AUS,1967,71.0472
Australia,AUS,1968,70.6807
Australia,AUS,1969,71.0719
Australia,AUS,1970,70.6534
Australia,AUS,1971,71.451
Australia,AUS,1972,71.7682
Australia,AUS,1973,72.0579
Australia,AUS,1974,71.8491
Australia,AUS,1975,72.7834
Australia,AUS,1976,72.7871
Australia,AUS,1977,73.4719
Australia,AUS,1978,73.7403
Australia,AUS,1979,74.327
Australia,AUS,1980,74.5655
Australia,AUS,1981,74.7827
Australia,AUS,1982,74.7192
Australia,AUS,1983,75.4402
Australia,AUS,1984,75.5099
Australia,AUS,1985,75.4303
Australia,AUS,1986,76.0716
Australia,AUS,1987,76.083
Australia,AUS,1988,76.3443
Australia,AUS,1989,76.1973
Australia,AUS,1990,77.0414
Australia,AUS,1991,77.4806
Australia,AUS,1992,77.4731
Australia,AUS,1993,78.006
Australia,AUS,1994,77.8515
Australia,AUS,1995,78.2569
Australia,AUS,1996,78.3436
Australia,AUS,1997,78.6256
Australia,AUS,1998,79.0202
Australia,AUS,1999,79.2769
Australia,AUS,2000,79.6207
France,FRA,1900,45.1
France,FRA,1901,47
France,FRA,1902,47.98
France,FRA,1903,48.4
France,FRA,1904,48.07
France,FRA,1905,48.38
France,FRA,1906,47.73
France,FRA,1907,48.3
France,FRA,1908,49.29
France,FRA,1909,50.01
France,FRA,1910,51.35
France,FRA,1911,48.21
France,FRA,1912,51.55
France,FRA,1913,51.36
France,FRA,1914,38.23
France,FRA,1915,36.55
France,FRA,1916,39.75
France,FRA,1917,42.97
France,FRA,1918,34.84
France,FRA,1919,47.14
France,FRA,1920,51.82
France,FRA,1921,52.69
France,FRA,1922,54.89
France,FRA,1923,54.59
France,FRA,1924,55.19
France,FRA,1925,54.35
France,FRA,1926,53.96
France,FRA,1927,55.74
France,FRA,1928,55.41
France,FRA,1929,54.24
France,FRA,1930,56.8
France,FRA,1931,56.9
France,FRA,1932,57.22
France,FRA,1933,57.65
France,FRA,1934,58.3
France,FRA,1935,58.28
France,FRA,1936,58.76
France,FRA,1937,59.11
France,FRA,1938,58.93
France,FRA,1939,59.55
France,FRA,1940,49.6
France,FRA,1941,57.42
France,FRA,1942,57.44
France,FRA,1943,53.3
France,FRA,1944,47.17
France,FRA,1945,54.93
France,FRA,1946,62.36
France,FRA,1947,63.95
France,FRA,1948,65.78
France,FRA,1949,64.9
France,FRA,1950,66.3819
France,FRA,1951,66.0968
France,FRA,1952,67.3912
France,FRA,1953,67.3191
France,FRA,1954,68.1882
France,FRA,1955,68.4442
France,FRA,1956,68.4647
France,FRA,1957,68.8972
France,FRA,1958,70.1071
France,FRA,1959,70.1683
France,FRA,1960,70.3675
France,FRA,1961,70.9582
France,FRA,1962,70.4704
France,FRA,1963,70.3204
France,FRA,1964,71.2802
France,FRA,1965,71.1067
France,FRA,1966,71.5138
France,FRA,1967,71.4983
France,FRA,1968,71.4857
France,FRA,1969,71.2063
France,FRA,1970,72.0915
France,FRA,1971,72.0735
France,FRA,1972,72.3134
France,FRA,1973,72.4756
France,FRA,1974,72.8037
France,FRA,1975,72.9001
France,FRA,1976,73.122
France,FRA,1977,73.7282
France,FRA,1978,73.8445
France,FRA,1979,74.125
France,FRA,1980,74.2335
France,FRA,1981,74.3965
France,FRA,1982,74.7657
France,FRA,1983,74.7344
France,FRA,1984,75.2175
France,FRA,1985,75.309
France,FRA,1986,75.5776
France,FRA,1987,76.1465
France,FRA,1988,76.398
France,FRA,1989,76.5432
France,FRA,1990,76.8351
France,FRA,1991,77.0162
France,FRA,1992,77.2973
France,FRA,1993,77.3488
France,FRA,1994,77.7681
France,FRA,1995,77.8715
France,FRA,1996,78.0613
France,FRA,1997,78.4246
France,FRA,1998,78.5879
France,FRA,1999,78.7457
France,FRA,2000,79.0438
Japan,JPN,1900,38.6
Japan,JPN,1905,39.222
Japan,JPN,1910,39.974
Japan,JPN,1915,40.899
Japan,JPN,1920,42.044
Japan,JPN,1922,42.616
Japan,JPN,1927,45.659
Japan,JPN,1935,48.242
Japan,JPN,1945,30.537
Japan,JPN,1947,51.71
Japan,JPN,1948,56.84
Japan,JPN,1949,57.72
Japan,JPN,1950,59.2548
Japan,JPN,1951,60.9885
Japan,JPN,1952,62.9959
Japan,JPN,1953,63.3252
Japan,JPN,1954,64.5367
Japan,JPN,1955,65.7115
Japan,JPN,1956,65.5598
Japan,JPN,1957,65.4387
Japan,JPN,1958,67.0429
Japan,JPN,1959,67.4564
Japan,JPN,1960,67.718
Japan,JPN,1961,68.3705
Japan,JPN,1962,68.6668
Japan,JPN,1963,69.7463
Japan,JPN,1964,70.1973
Japan,JPN,1965,70.257
Japan,JPN,1966,71.0552
Japan,JPN,1967,71.401
Japan,JPN,1968,71.6718
Japan,JPN,1969,71.9225
Japan,JPN,1970,72.0073
Japan,JPN,1971,72.827
Japan,JPN,1972,73.2584
Japan,JPN,1973,73.4218
Japan,JPN,1974,73.8494
Japan,JPN,1975,74.3569
Japan,JPN,1976,74.7611
Japan,JPN,1977,75.3257
Japan,JPN,1978,75.6571
Japan,JPN,1979,76.1671
Japan,JPN,1980,76.1408
Japan,JPN,1981,76.5629
Japan,JPN,1982,77.0723
Japan,JPN,1983,77.1069
Japan,JPN,1984,77.5068
Japan,JPN,1985,77.799
Japan,JPN,1986,78.2119
Japan,JPN,1987,78.6307
Japan,JPN,1988,78.5454
Japan,JPN,1989,78.9799
Japan,JPN,1990,78.9928
Japan,JPN,1991,79.262
Japan,JPN,1992,79.303
Japan,JPN,1993,79.4461
Japan,JPN,1994,79.8366
Japan,JPN,1995,79.6837
Japan,JPN,1996,80.3627
Japan,JPN,1997,80.5836
Japan,JPN,1998,80.6487
Japan,JPN,1999,80.6129
Japan,JPN,2000,81.1788
United States,USA,1901,49.3
United States,USA,1902,50.5
United States,USA,1903,50.6
United States,USA,1904,49.6
United States,USA,1905,50.3
United States,USA,1906,50.1
United States,USA,1907,50.2
United States,USA,1908,51.9
United States,USA,1909,52.8
United States,USA,1910,51.8
United States,USA,1911,53.4
United States,USA,1912,54.1
United States,USA,1913,53.5
United States,USA,1914,54.6
United States,USA,1915,55.1
United States,USA,1916,54.2
United States,USA,1917,54
United States,USA,1918,47.2
United States,USA,1919,55.3
United States,USA,1920,55.4
United States,USA,1921,58.2
United States,USA,1922,58.1
United States,USA,1923,57.5
United States,USA,1924,58.5
United States,USA,1925,58.5
United States,USA,1926,57.9
United States,USA,1927,59.4
United States,USA,1928,58.3
United States,USA,1929,58.5
United States,USA,1930,59.6
United States,USA,1931,60.3
United States,USA,1932,61
United States,USA,1933,60.9
United States,USA,1934,60.19
United States,USA,1935,60.91
United States,USA,1936,60.35
United States,USA,1937,61.03
United States,USA,1938,62.39
United States,USA,1939,63.07
United States,USA,1940,63.22
United States,USA,1941,63.79
United States,USA,1942,64.54
United States,USA,1943,64.36
United States,USA,1944,65.06
United States,USA,1945,65.59
United States,USA,1946,66.13
United States,USA,1947,66.8
United States,USA,1948,67.22
United States,USA,1949,67.63
United States,USA,1950,68.0669
United States,USA,1951,68.1743
United States,USA,1952,68.38
United States,USA,1953,68.7112
United States,USA,1954,69.4996
United States,USA,1955,69.5573
United States,USA,1956,69.643
United States,USA,1957,69.4183
United States,USA,1958,69.6733
United States,USA,1959,69.9044
United States,USA,1960,69.8293
United States,USA,1961,70.2536
United States,USA,1962,70.1162
United States,USA,1963,69.9428
United States,USA,1964,70.1993
United States,USA,1965,70.2495
United States,USA,1966,70.21
United States,USA,1967,70.5202
United States,USA,1968,70.2004
United States,USA,1969,70.4763
United States,USA,1970,70.7343
United States,USA,1971,71.0979
United States,USA,1972,71.1779
United States,USA,1973,71.3966
United States,USA,1974,71.9592
United States,USA,1975,72.5434
United States,USA,1976,72.8448
United States,USA,1977,73.2267
United States,USA,1978,73.4091
United States,USA,1979,73.8331
United States,USA,1980,73.73
United States,USA,1981,74.1174
United States,USA,1982,74.4635
United States,USA,1983,74.5528
United States,USA,1984,74.6747
United States,USA,1985,74.65
United States,USA,1986,74.7284
United States,USA,1987,74.8599
United States,USA,1988,74.8333
United States,USA,1989,75.1091
United States,USA,1990,75.3743
United States,USA,1991,75.5243
United States,USA,1992,75.779
United States,USA,1993,75.5677
United States,USA,1994,75.7381
United States,USA,1995,75.8522
United States,USA,1996,76.1749
United States,USA,1997,76.4981
United States,USA,1998,76.6592
United States,USA,1999,76.6691
United States,USA,2000,76.8058
World,OWID_WRL,1900,32
World,OWID_WRL,1913,34.1
World,OWID_WRL,1950,46.3944
World,OWID_WRL,1951,47.1259
World,OWID_WRL,1952,48.2183
World,OWID_WRL,1953,48.809
World,OWID_WRL,1954,49.6514
World,OWID_WRL,1955,50.2055
World,OWID_WRL,1956,50.7373
World,OWID_WRL,1957,51.0636
World,OWID_WRL,1958,51.6151
World,OWID_WRL,1959,49.5818
World,OWID_WRL,1960,47.8198
World,OWID_WRL,1961,50.3459
World,OWID_WRL,1962,53.2416
World,OWID_WRL,1963,53.7161
World,OWID_WRL,1964,54.2603
World,OWID_WRL,1965,53.9975
World,OWID_WRL,1966,54.5644
World,OWID_WRL,1967,55.0678
World,OWID_WRL,1968,55.6181
World,OWID_WRL,1969,55.9999
World,OWID_WRL,1970,56.2664
World,OWID_WRL,1971,56.0193
World,OWID_WRL,1972,57.2155
World,OWID_WRL,1973,57.6923
World,OWID_WRL,1974,58.0614
World,OWID_WRL,1975,58.2681
World,OWID_WRL,1976,58.5754
World,OWID_WRL,1977,59.1539
World,OWID_WRL,1978,59.5129
World,OWID_WRL,1979,60.1571
World,OWID_WRL,1980,60.502
World,OWID_WRL,1981,60.9187
World,OWID_WRL,1982,61.3435
World,OWID_WRL,1983,61.5211
World,OWID_WRL,1984,61.8663
World,OWID_WRL,1985,62.2092
World,OWID_WRL,1986,62.7297
World,OWID_WRL,1987,63.1809
World,OWID_WRL,1988,63.3672
World,OWID_WRL,1989,63.7817
World,OWID_WRL,1990,63.955
World,OWID_WRL,1991,64.0642
World,OWID_WRL,1992,64.2879
World,OWID_WRL,1993,64.4334
World,OWID_WRL,1994,64.2995
World,OWID_WRL,1995,64.8817
World,OWID_WRL,1996,65.1995
World,OWID_WRL,1997,65.5406
World,OWID_WRL,1998,65.7408
World,OWID_WRL,1999,66.0412
World,OWID_WRL,2000,66.4333